Date,Templeton Em Mkts Dyn Inc A MDis HKD
11/27/19,8.55
11/28/19,8.57
11/29/19,8.51
11/30/19,8.51
12/1/19,8.51
12/2/19,8.5
12/3/19,8.49
12/4/19,8.5
12/5/19,8.53
12/6/19,8.6
12/7/19,8.6
12/8/19,8.6
12/9/19,8.54
12/10/19,8.53
12/11/19,8.54
12/12/19,8.63
12/13/19,8.69
12/14/19,8.69
12/15/19,8.69
12/16/19,8.71
12/17/19,8.75
12/18/19,8.79
12/19/19,8.78
12/20/19,8.79
12/21/19,8.79
12/22/19,8.79
12/23/19,8.8
12/24/19,8.81
12/25/19,8.81
12/26/19,8.83
12/27/19,8.87
12/28/19,8.87
12/29/19,8.87
12/30/19,8.87
12/31/19,8.9
1/1/20,8.9
1/2/20,8.94
1/3/20,8.89
1/4/20,8.89
1/5/20,8.89
1/6/20,8.82
1/7/20,8.85
1/8/20,8.84
1/9/20,8.84
1/10/20,8.86
1/11/20,8.86
1/12/20,8.86
1/13/20,8.91
1/14/20,8.93
1/15/20,8.88
1/16/20,8.88
1/17/20,8.93
1/18/20,8.93
1/19/20,8.93
1/20/20,8.92
1/21/20,8.84
1/22/20,8.88
1/23/20,8.83
1/24/20,8.83
1/25/20,8.83
1/26/20,8.83
1/27/20,8.68
1/28/20,8.72
1/29/20,8.72
1/30/20,8.64
1/31/20,8.57
2/1/20,8.57
2/2/20,8.57
2/3/20,8.62
2/4/20,8.71
2/5/20,8.75
2/6/20,8.8
2/7/20,8.75
2/8/20,8.75
2/9/20,8.75
2/10/20,8.7
2/11/20,8.75
2/12/20,8.8
2/13/20,8.78
2/14/20,8.79
2/15/20,8.79
2/16/20,8.79
2/17/20,8.79
2/18/20,8.72
2/19/20,8.75
2/20/20,8.69
2/21/20,8.68
2/22/20,8.68
2/23/20,8.68
2/24/20,8.53
2/25/20,8.51
2/26/20,8.48
2/27/20,8.41
2/28/20,8.36
2/29/20,8.36
3/1/20,8.36
3/2/20,8.39
3/3/20,8.38
3/4/20,8.43
3/5/20,8.39
3/6/20,8.3
3/7/20,8.3
3/8/20,8.3
3/9/20,7.95
3/10/20,8.07
3/11/20,7.87
3/12/20,7.47
3/13/20,7.7
3/14/20,7.7
3/15/20,7.7
3/16/20,7.25
3/17/20,7.36
3/18/20,7.03
3/19/20,7.01
3/20/20,7.0
3/21/20,7.0
3/22/20,7.0
3/23/20,6.85
3/24/20,7.11
3/25/20,7.25
3/26/20,7.4
3/27/20,7.23
3/28/20,7.23
3/29/20,7.23
3/30/20,7.25
3/31/20,7.28
4/1/20,7.12
4/2/20,7.2
4/3/20,7.14
4/4/20,7.14
4/5/20,7.14
4/6/20,7.29
4/7/20,7.36
4/8/20,7.35
4/9/20,7.41
4/10/20,7.41
4/11/20,7.41
4/12/20,7.41
4/13/20,7.37
4/14/20,7.42
4/15/20,7.36
4/16/20,7.4
4/17/20,7.51
4/18/20,7.51
4/19/20,7.51
4/20/20,7.48
4/21/20,7.37
4/22/20,7.42
4/23/20,7.41
4/24/20,7.36
4/25/20,7.36
4/26/20,7.36
4/27/20,7.41
4/28/20,7.47
4/29/20,7.58
4/30/20,7.55
5/1/20,7.44
5/2/20,7.44
5/3/20,7.44
5/4/20,7.44
5/5/20,7.46
5/6/20,7.46
5/7/20,7.47
5/8/20,7.49
5/9/20,7.49
5/10/20,7.49
5/11/20,7.49
5/12/20,7.45
5/13/20,7.46
5/14/20,7.44
5/15/20,7.41
5/16/20,7.41
5/17/20,7.41
5/18/20,7.5
5/19/20,7.49
5/20/20,7.56
5/21/20,7.55
5/22/20,7.47
5/23/20,7.47
5/24/20,7.47
5/25/20,7.49
5/26/20,7.56
5/27/20,7.58
5/28/20,7.58
5/29/20,7.57
5/30/20,7.57
5/31/20,7.57
6/1/20,7.65
6/2/20,7.72
6/3/20,7.82
6/4/20,7.84
6/5/20,7.94
6/6/20,7.94
6/7/20,7.94
6/8/20,7.93
6/9/20,7.92
6/10/20,7.95
6/11/20,7.76
6/12/20,7.82
6/13/20,7.82
6/14/20,7.82
6/15/20,7.74
6/16/20,7.82
6/17/20,7.87
6/18/20,7.87
6/19/20,7.89
6/20/20,7.89
6/21/20,7.89
6/22/20,7.92
6/23/20,7.99
6/24/20,7.95
6/25/20,7.96
6/26/20,7.88
6/27/20,7.88
6/28/20,7.88
6/29/20,7.9
6/30/20,7.91
7/1/20,7.94
7/2/20,8.02
7/3/20,8.04
7/4/20,8.04
7/5/20,8.04
7/6/20,8.2
7/7/20,8.12
7/8/20,8.2
7/9/20,8.21
7/10/20,8.22
7/11/20,8.22
7/12/20,8.22
7/13/20,8.14
7/14/20,8.15
7/15/20,8.18
7/16/20,8.1
7/17/20,8.14
7/18/20,8.14
7/19/20,8.14
7/20/20,8.18
7/21/20,8.25
7/22/20,8.24
7/23/20,8.21
7/24/20,8.22
7/25/20,8.22
7/26/20,8.22
7/27/20,8.32
7/28/20,8.32
7/29/20,8.4
7/30/20,8.36
7/31/20,8.3
8/1/20,8.3
8/2/20,8.3
8/3/20,8.33
8/4/20,8.37
8/5/20,8.42
8/6/20,8.46
8/7/20,8.34
8/8/20,8.34
8/9/20,8.34
8/10/20,8.28
8/11/20,8.29
8/12/20,8.34
8/13/20,8.32
8/14/20,8.29
