Date,Harvest China A Research Select A HKD
8/17/15,128.2
8/18/15,119.78
8/19/15,122.7
8/20/15,118.61
8/21/15,111.67
8/22/15,111.67
8/23/15,111.67
8/24/15,98.91
8/25/15,91.39
8/26/15,91.65
8/27/15,98.12
8/28/15,103.9
8/29/15,103.9
8/30/15,103.9
8/31/15,101.44
9/1/15,97.33
9/2/15,95.08
9/3/15,95.08
9/4/15,95.08
9/5/15,95.08
9/6/15,95.08
9/7/15,93.43
9/8/15,98.49
9/9/15,101.2
9/10/15,101.45
9/11/15,100.89
9/12/15,100.89
9/13/15,100.89
9/14/15,96.73
9/15/15,91.56
9/16/15,97.92
9/17/15,95.41
9/18/15,96.86
9/19/15,96.86
9/20/15,96.86
9/21/15,99.11
9/22/15,99.9
9/23/15,97.46
9/24/15,98.27
9/25/15,96.35
9/26/15,96.35
9/27/15,96.35
9/28/15,96.35
9/29/15,97.76
9/30/15,98.1
10/1/15,98.1
10/2/15,98.1
10/3/15,98.1
10/4/15,98.1
10/5/15,98.1
10/6/15,98.1
10/7/15,98.1
10/8/15,102.2
10/9/15,104.17
10/10/15,104.17
10/11/15,104.17
10/12/15,108.52
10/13/15,108.66
10/14/15,106.42
10/15/15,109.61
10/16/15,110.46
10/17/15,110.46
10/18/15,110.46
10/19/15,110.63
10/20/15,112.17
10/21/15,112.17
10/22/15,108.15
10/23/15,110.98
10/24/15,110.98
10/25/15,110.98
10/26/15,113.09
10/27/15,113.23
10/28/15,110.37
10/29/15,112.31
10/30/15,113.22
10/31/15,113.22
11/1/15,113.22
11/2/15,111.24
11/3/15,111.43
11/4/15,117.91
11/5/15,117.33
11/6/15,120.42
11/7/15,120.42
11/8/15,120.42
11/9/15,121.73
11/10/15,120.74
11/11/15,121.78
11/12/15,121.34
11/13/15,118.27
11/14/15,118.27
11/15/15,118.27
11/16/15,120.68
11/17/15,119.84
11/18/15,118.24
11/19/15,121.48
11/20/15,122.01
11/21/15,122.01
11/22/15,122.01
11/23/15,120.62
11/24/15,121.85
11/25/15,123.64
11/26/15,122.33
11/27/15,114.46
11/28/15,114.46
11/29/15,114.46
11/30/15,115.74
12/1/15,116.28
12/2/15,117.12
12/3/15,118.56
12/4/15,117.48
12/5/15,117.48
12/6/15,117.48
12/7/15,117.54
12/8/15,114.63
12/9/15,114.61
12/10/15,113.94
12/11/15,113.16
12/12/15,113.16
12/13/15,113.16
12/14/15,115.06
12/15/15,115.42
12/16/15,115.36
12/17/15,117.29
12/18/15,117.37
12/19/15,117.37
12/20/15,117.37
12/21/15,120.05
12/22/15,121.62
12/23/15,120.37
12/24/15,119.86
12/25/15,119.86
12/26/15,119.86
12/27/15,119.86
12/28/15,116.53
12/29/15,118.3
12/30/15,118.99
12/31/15,117.32
1/1/16,117.32
1/2/16,117.32
1/3/16,117.32
1/4/16,106.58
1/5/16,107.29
1/6/16,108.61
1/7/16,98.29
1/8/16,101.52
1/9/16,101.52
1/10/16,101.52
1/11/16,95.36
1/12/16,95.95
1/13/16,93.35
1/14/16,95.56
1/15/16,92.09
1/16/16,92.09
1/17/16,92.09
1/18/16,93.46
1/19/16,97.12
1/20/16,95.51
1/21/16,91.84
1/22/16,92.7
1/23/16,92.7
1/24/16,92.7
1/25/16,94.02
1/26/16,87.97
1/27/16,86.45
1/28/16,83.54
1/29/16,87.32
1/30/16,87.32
1/31/16,87.32
2/1/16,86.82
2/2/16,89.46
2/3/16,89.12
2/4/16,90.89
2/5/16,90.76
2/6/16,90.76
2/7/16,90.76
2/8/16,90.76
2/9/16,90.76
2/10/16,90.76
2/11/16,90.76
2/12/16,90.76
2/13/16,90.76
2/14/16,90.76
2/15/16,91.13
2/16/16,94.72
2/17/16,95.51
2/18/16,95.12
2/19/16,95.29
2/20/16,95.29
2/21/16,95.29
2/22/16,97.39
2/23/16,96.06
2/24/16,96.39
2/25/16,86.23
2/26/16,87.42
2/27/16,87.42
2/28/16,87.42
2/29/16,83.63
3/1/16,85.51
3/2/16,89.88
3/3/16,94.46
3/4/16,94.04
3/5/16,94.04
3/6/16,94.04
3/7/16,94.78
3/8/16,95.34
3/9/16,93.6
3/10/16,91.65
3/11/16,92.0
3/12/16,92.0
3/13/16,92.0
3/14/16,94.52
3/15/16,94.17
3/16/16,93.58
3/17/16,96.37
3/18/16,98.68
3/19/16,98.68
3/20/16,98.68
3/21/16,100.93
3/22/16,100.13
3/23/16,100.54
3/24/16,98.89
3/25/16,98.89
3/26/16,98.89
3/27/16,98.89
3/28/16,98.89
3/29/16,97.12
3/30/16,100.21
3/31/16,101.03
4/1/16,100.25
4/2/16,100.25
4/3/16,100.25
4/4/16,100.25
4/5/16,102.32
4/6/16,102.33
4/7/16,103.2
4/8/16,102.53
4/9/16,102.53
4/10/16,102.53
4/11/16,104.79
4/12/16,104.39
4/13/16,105.95
4/14/16,106.7
4/15/16,106.8
4/16/16,106.8
4/17/16,106.8
4/18/16,105.22
4/19/16,105.63
4/20/16,102.58
4/21/16,101.29
4/22/16,101.62
4/23/16,101.62
4/24/16,101.62
4/25/16,101.11
4/26/16,102.33
4/27/16,102.09
4/28/16,102.16
4/29/16,102.28
4/30/16,102.28
5/1/16,102.28
5/2/16,102.28
5/3/16,104.83
5/4/16,104.12
5/5/16,104.38
5/6/16,100.99
5/7/16,100.99
5/8/16,100.99
5/9/16,98.25
5/10/16,97.73
5/11/16,98.3
5/12/16,98.72
5/13/16,98.11
5/14/16,98.11
5/15/16,98.11
5/16/16,99.27
5/17/16,98.83
5/18/16,97.05
5/19/16,96.84
5/20/16,97.77
5/21/16,97.77
5/22/16,97.77
5/23/16,98.83
5/24/16,97.76
5/25/16,97.25
5/26/16,97.64
5/27/16,97.56
5/28/16,97.56
5/29/16,97.56
5/30/16,97.49
5/31/16,101.02
6/1/16,101.25
6/2/16,101.93
6/3/16,102.74
6/4/16,102.74
6/5/16,102.74
6/6/16,103.61
6/7/16,103.74
6/8/16,102.99
6/9/16,102.99
6/10/16,102.99
6/11/16,102.99
6/12/16,102.99
6/13/16,98.86
6/14/16,99.27
6/15/16,102.14
6/16/16,101.69
6/17/16,102.47
6/18/16,102.47
6/19/16,102.47
6/20/16,103.1
6/21/16,102.15
6/22/16,103.13
6/23/16,102.57
6/24/16,100.87
6/25/16,100.87
6/26/16,100.87
6/27/16,102.22
6/28/16,102.64
6/29/16,103.09
6/30/16,103.09
7/1/16,103.09
7/2/16,103.09
7/3/16,103.09
7/4/16,104.41
7/5/16,104.77
7/6/16,104.96
7/7/16,105.35
7/8/16,104.53
7/9/16,104.53
7/10/16,104.53
7/11/16,104.84
7/12/16,106.8
7/13/16,107.67
7/14/16,107.48
7/15/16,107.98
7/16/16,107.98
7/17/16,107.98
7/18/16,107.41
7/19/16,106.89
7/20/16,106.92
7/21/16,107.36
7/22/16,106.13
7/23/16,106.13
7/24/16,106.13
7/25/16,106.15
7/26/16,107.84
7/27/16,105.74
7/28/16,106.54
7/29/16,106.75
7/30/16,106.75
7/31/16,106.75
8/1/16,105.63
8/2/16,105.63
8/3/16,107.1
8/4/16,107.02
8/5/16,106.87
8/6/16,106.87
8/7/16,106.87
8/8/16,107.36
8/9/16,108.41
8/10/16,108.41
8/11/16,108.41
8/12/16,108.41
8/13/16,108.41
8/14/16,108.41
8/15/16,108.41
8/16/16,108.41
8/17/16,108.41
8/18/16,108.41
8/19/16,108.41
8/20/16,108.41
8/21/16,108.41
8/22/16,108.41
8/23/16,108.41
8/24/16,108.41
8/25/16,108.41
8/26/16,108.41
8/27/16,108.41
8/28/16,108.41
8/29/16,108.41
8/30/16,108.41
8/31/16,108.41
9/1/16,108.41
9/2/16,108.41
9/3/16,108.41
9/4/16,108.41
9/5/16,108.41
9/6/16,108.41
9/7/16,108.41
9/8/16,108.41
9/9/16,108.41
9/10/16,108.41
9/11/16,108.41
9/12/16,108.41
9/13/16,108.41
9/14/16,108.41
9/15/16,108.41
9/16/16,108.41
9/17/16,108.41
9/18/16,108.41
9/19/16,108.41
9/20/16,108.41
9/21/16,108.41
9/22/16,108.41
9/23/16,108.41
9/24/16,108.41
9/25/16,108.41
9/26/16,108.41
9/27/16,108.41
9/28/16,108.41
9/29/16,108.41
9/30/16,108.41
10/1/16,108.41
10/2/16,108.41
10/3/16,108.41
10/4/16,108.41
10/5/16,108.41
10/6/16,108.41
10/7/16,108.41
10/8/16,108.41
10/9/16,108.41
10/10/16,108.41
10/11/16,108.41
10/12/16,108.41
10/13/16,108.41
10/14/16,108.41
10/15/16,108.41
10/16/16,108.41
10/17/16,108.41
10/18/16,108.41
10/19/16,108.41
10/20/16,108.41
10/21/16,108.41
10/22/16,108.41
10/23/16,108.41
10/24/16,108.41
10/25/16,108.41
10/26/16,108.41
10/27/16,108.41
10/28/16,108.41
10/29/16,108.41
10/30/16,108.41
10/31/16,108.41
11/1/16,108.41
11/2/16,108.41
11/3/16,108.41
11/4/16,108.41
11/5/16,108.41
11/6/16,108.41
11/7/16,108.41
11/8/16,108.41
11/9/16,108.41
11/10/16,108.41
11/11/16,108.41
11/12/16,108.41
11/13/16,108.41
11/14/16,108.41
11/15/16,108.41
11/16/16,108.41
11/17/16,108.41
11/18/16,108.41
11/19/16,108.41
11/20/16,108.41
11/21/16,108.41
11/22/16,108.41
11/23/16,108.41
11/24/16,108.41
11/25/16,108.41
11/26/16,108.41
11/27/16,108.41
