Date,AB Global High Yield AA HKD Inc,CSOP Select US Dollar Bd A HKD Acc,E Fund (HK) HKD Mny Mkt B HKD Acc,Harvest China A Research Select A HKD,AB SICAV I Low Volatility Eq A HKD Acc,CUAM China-Hong Kong Strategy A,E Fund (HK) Select Asia HY Bd A HKD Inc,Harvest China Equity A HKD Acc,Allianz Global Artfcl Intlgc AT HKD,ChinaAMC Select Fixed Inc Allc A HKD Acc,E Fund (HK) China Equity Div A HKD Inc,Harvest China Income A HKD Inc,Allianz Income and Growth AM HKD,Da Cheng China Balanced A (HKD),Franklin Biotechnology Discv A(acc)HKD,Janus Henderson Balanced A2 HKD,Allianz US Short Dur Hi Inc Bd AM HKD,Da Cheng Overseas China Concept A HKD,Franklin Technology A Acc HKD,Templeton Em Mkts Dyn Inc A MDis HKD,Bosera Orient Sun Rise Grt CNH Bd A HKD,E Fund (HK) Grtr Chn Leaders A HKD Acc,Franklin US Government A(acc)HKD
6/12/14,-8.492569002127581e-05,0.0,0.0,-0.002326073165574094,-0.002027999476645337,0.0,0.0,0.00036169635590921345,0.0,0.0,0.0,0.0,0.0,-0.0031282586027110426,-0.003754693366708417,-0.001477104874446078,0.0,0.0,-0.007770007770007692,0.0,0.0,0.0,0.0009033423667570428
6/13/14,0.0007643961270595856,0.0,0.0,0.008266214497668622,0.0005244182235331074,0.0,0.0,0.00569465786857104,0.0,0.0,0.0,0.0,-0.002846299810246644,0.008368200836819994,0.006909547738693567,0.0,0.0,0.0,0.006264682850430692,0.0,0.0,0.0,-0.0009025270758122872
6/14/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6/15/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6/16/14,-0.0007638122719172413,0.0,0.0,0.004204330460374273,0.0004586254340561702,0.0,0.0,-0.0004493978069387561,0.0,0.0,0.0,0.0,-0.0057088487155091405,0.003112033195020736,0.0037429819089207506,0.0,0.0,0.0,0.003112840466926059,0.0,0.0,0.0,0.0018066847335138636
6/17/14,-0.0006794632240529896,0.0,0.0,-0.012978857023236423,-0.0005239030779304876,0.0,0.0,-0.007013757755597427,0.0,0.0,0.0,0.0,0.001913875598086312,-0.008273009307135482,0.0006215040397763438,0.0,0.0,0.0,0.006206361520558534,0.0,0.0,0.0,-0.0027051397655545317
6/18/14,0.001274859765425962,0.0,0.0,-0.008059384941675463,0.007600576595465869,0.0,0.0,-0.0006338857194603253,0.0,0.0,0.0,0.0,0.0009551098376312517,-0.009384775808133461,0.011801242236024745,0.002958579881656931,0.0,0.0,0.004626060138781751,0.0,0.0,0.0,0.0009041591320071429
6/19/14,0.00127323656735423,0.0,0.0,-0.012294205687406468,0.0024710625568993283,0.0,0.0,-0.00616165277274372,0.0,0.0,0.0,0.0,0.003816793893129722,-0.017894736842105297,-0.000613873542050225,0.001474926253687281,0.0,0.0,0.0,0.0,0.0,0.0,0.0018066847335138636
6/20/14,0.001441166497117674,0.0,0.0,0.006169498863513256,0.0006486766995328352,0.0,0.0,-0.001641137855579955,0.0,0.0,0.0,0.0,0.000950570342205248,0.007502679528403,0.017813267813267863,0.0,0.0,0.0,-0.0007674597083653367,0.0,0.0,0.0,0.0
6/21/14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
