Date,CSOP Select US Dollar Bd A HKD Acc
2/20/17,10.66
2/21/17,10.66
2/22/17,10.66
2/23/17,10.66
2/24/17,10.68
2/25/17,10.68
2/26/17,10.68
2/27/17,10.67
2/28/17,10.67
3/1/17,10.68
3/2/17,10.68
3/3/17,10.7
3/4/17,10.7
3/5/17,10.7
3/6/17,10.69
3/7/17,10.68
3/8/17,10.68
3/9/17,10.67
3/10/17,10.67
3/11/17,10.67
3/12/17,10.67
3/13/17,10.68
3/14/17,10.68
3/15/17,10.7
3/16/17,10.7
3/17/17,10.7
3/18/17,10.7
3/19/17,10.7
3/20/17,10.7
3/21/17,10.72
3/22/17,10.72
3/23/17,10.72
3/24/17,10.72
3/25/17,10.72
3/26/17,10.72
3/27/17,10.73
3/28/17,10.73
3/29/17,10.74
3/30/17,10.73
3/31/17,10.74
4/1/17,10.74
4/2/17,10.74
4/3/17,10.75
4/4/17,10.75
4/5/17,10.76
4/6/17,10.76
4/7/17,10.76
4/8/17,10.76
4/9/17,10.76
4/10/17,10.76
4/11/17,10.77
4/12/17,10.78
4/13/17,10.78
4/14/17,10.78
4/15/17,10.78
4/16/17,10.78
4/17/17,10.78
4/18/17,10.79
4/19/17,10.79
4/20/17,10.79
4/21/17,10.79
4/22/17,10.79
4/23/17,10.79
4/24/17,10.8
4/25/17,10.8
4/26/17,10.8
4/27/17,10.81
4/28/17,10.81
4/29/17,10.81
4/30/17,10.81
5/1/17,10.81
5/2/17,10.82
5/3/17,10.82
5/4/17,10.82
5/5/17,10.82
5/6/17,10.82
5/7/17,10.82
5/8/17,10.82
5/9/17,10.83
5/10/17,10.83
5/11/17,10.84
5/12/17,10.85
5/13/17,10.85
5/14/17,10.85
5/15/17,10.85
5/16/17,10.85
5/17/17,10.85
5/18/17,10.84
5/19/17,10.84
5/20/17,10.84
5/21/17,10.84
5/22/17,10.84
5/23/17,10.84
5/24/17,10.85
5/25/17,10.85
5/26/17,10.86
5/27/17,10.86
5/28/17,10.86
5/29/17,10.86
5/30/17,10.86
5/31/17,10.86
6/1/17,10.87
6/2/17,10.87
6/3/17,10.87
6/4/17,10.87
6/5/17,10.88
6/6/17,10.89
6/7/17,10.89
6/8/17,10.89
6/9/17,10.9
6/10/17,10.9
6/11/17,10.9
6/12/17,10.91
6/13/17,10.91
6/14/17,10.92
6/15/17,10.92
6/16/17,10.92
6/17/17,10.92
6/18/17,10.92
6/19/17,10.92
6/20/17,10.92
6/21/17,10.92
6/22/17,10.92
6/23/17,10.92
6/24/17,10.92
6/25/17,10.92
6/26/17,10.92
6/27/17,10.91
6/28/17,10.91
6/29/17,10.91
6/30/17,10.9
7/1/17,10.9
7/2/17,10.9
7/3/17,10.9
7/4/17,10.9
7/5/17,10.91
7/6/17,10.91
7/7/17,10.91
7/8/17,10.91
7/9/17,10.91
7/10/17,10.92
7/11/17,10.92
7/12/17,10.93
7/13/17,10.93
7/14/17,10.93
7/15/17,10.93
7/16/17,10.93
7/17/17,10.93
7/18/17,10.93
7/19/17,10.95
7/20/17,10.96
7/21/17,10.96
7/22/17,10.96
7/23/17,10.96
7/24/17,10.96
7/25/17,10.96
7/26/17,10.97
7/27/17,10.97
7/28/17,10.98
7/29/17,10.98
7/30/17,10.98
7/31/17,10.97
8/1/17,10.98
8/2/17,10.99
8/3/17,11.01
8/4/17,11.01
8/5/17,11.01
8/6/17,11.01
8/7/17,11.03
8/8/17,11.03
8/9/17,11.02
8/10/17,11.02
8/11/17,11.02
8/12/17,11.02
8/13/17,11.02
8/14/17,11.02
8/15/17,11.03
8/16/17,11.04
8/17/17,11.05
8/18/17,11.04
8/19/17,11.04
8/20/17,11.04
8/21/17,11.05
8/22/17,11.05
8/23/17,11.05
8/24/17,11.06
8/25/17,11.06
8/26/17,11.06
8/27/17,11.06
8/28/17,11.07
8/29/17,11.08
8/30/17,11.09
8/31/17,11.09
9/1/17,11.09
9/2/17,11.09
9/3/17,11.09
9/4/17,11.09
9/5/17,11.11
9/6/17,11.1
9/7/17,11.09
9/8/17,11.08
9/9/17,11.08
9/10/17,11.08
9/11/17,11.09
9/12/17,11.08
9/13/17,11.08
9/14/17,11.08
9/15/17,11.09
9/16/17,11.09
9/17/17,11.09
9/18/17,11.09
9/19/17,11.08
9/20/17,11.08
9/21/17,11.08
9/22/17,11.09
9/23/17,11.09
9/24/17,11.09
9/25/17,11.11
9/26/17,11.11
9/27/17,11.11
9/28/17,11.1
9/29/17,11.1
9/30/17,11.1
10/1/17,11.1
10/2/17,11.1
10/3/17,11.11
10/4/17,11.11
10/5/17,11.11
10/6/17,11.11
10/7/17,11.11
10/8/17,11.11
10/9/17,11.11
10/10/17,11.12
10/11/17,11.13
10/12/17,11.14
10/13/17,11.14
10/14/17,11.14
10/15/17,11.14
10/16/17,11.15
10/17/17,11.15
10/18/17,11.16
10/19/17,11.15
10/20/17,11.15
10/21/17,11.15
10/22/17,11.15
10/23/17,11.15
10/24/17,11.16
10/25/17,11.16
10/26/17,11.15
10/27/17,11.16
10/28/17,11.16
10/29/17,11.16
10/30/17,11.16
10/31/17,11.16
11/1/17,11.17
11/2/17,11.17
11/3/17,11.18
11/4/17,11.18
11/5/17,11.18
11/6/17,11.18
11/7/17,11.18
11/8/17,11.17
11/9/17,11.16
11/10/17,11.15
11/11/17,11.15
11/12/17,11.15
11/13/17,11.13
11/14/17,11.13
11/15/17,11.13
11/16/17,11.13
11/17/17,11.13
11/18/17,11.13
11/19/17,11.13
11/20/17,11.14
11/21/17,11.15
11/22/17,11.15
11/23/17,11.15
11/24/17,11.15
11/25/17,11.15
11/26/17,11.15
11/27/17,11.14
11/28/17,11.15
11/29/17,11.15
11/30/17,11.15
12/1/17,11.15
12/2/17,11.15
12/3/17,11.15
12/4/17,11.16
12/5/17,11.16
12/6/17,11.16
12/7/17,11.15
12/8/17,11.14
12/9/17,11.14
12/10/17,11.14
12/11/17,11.15
12/12/17,11.14
12/13/17,11.14
12/14/17,11.14
12/15/17,11.15
12/16/17,11.15
12/17/17,11.15
12/18/17,11.16
12/19/17,11.15
12/20/17,11.16
12/21/17,11.16
12/22/17,11.15
12/23/17,11.15
12/24/17,11.15
12/25/17,11.15
12/26/17,11.15
12/27/17,11.17
12/28/17,11.17
12/29/17,11.17
12/30/17,11.17
12/31/17,11.17
1/1/18,11.17
1/2/18,11.17
1/3/18,11.18
1/4/18,11.19
1/5/18,11.2
1/6/18,11.2
1/7/18,11.2
1/8/18,11.21
1/9/18,11.2
1/10/18,11.2
1/11/18,11.21
1/12/18,11.21
1/13/18,11.21
1/14/18,11.21
1/15/18,11.21
1/16/18,11.22
1/17/18,11.21
1/18/18,11.2
