Date,CUAM China-Hong Kong Strategy A
12/25/17,12.72
12/26/17,12.72
12/27/17,12.68
12/28/17,12.77
12/29/17,12.81
12/30/17,12.81
12/31/17,12.81
1/1/18,12.81
1/2/18,13.32
1/3/18,13.42
1/4/18,13.58
1/5/18,13.58
1/6/18,13.58
1/7/18,13.58
1/8/18,13.68
1/9/18,13.79
1/10/18,13.78
1/11/18,13.74
1/12/18,13.91
1/13/18,13.91
1/14/18,13.91
1/15/18,13.79
1/16/18,14.04
1/17/18,14.12
1/18/18,14.17
1/19/18,14.26
1/20/18,14.26
1/21/18,14.26
1/22/18,14.39
1/23/18,14.62
1/24/18,14.52
1/25/18,14.49
1/26/18,14.74
1/27/18,14.74
1/28/18,14.74
1/29/18,14.63
1/30/18,14.46
1/31/18,14.63
2/1/18,14.47
2/2/18,14.39
2/3/18,14.39
2/4/18,14.39
2/5/18,14.15
2/6/18,13.56
2/7/18,13.27
2/8/18,13.23
2/9/18,12.94
2/10/18,12.94
2/11/18,12.94
2/12/18,13.1
2/13/18,13.35
2/14/18,13.75
2/15/18,14.08
2/16/18,14.08
2/17/18,14.08
2/18/18,14.08
2/19/18,14.08
2/20/18,14.06
2/21/18,14.23
2/22/18,14.06
2/23/18,14.35
2/24/18,14.35
2/25/18,14.35
2/26/18,14.36
2/27/18,14.09
2/28/18,13.88
3/1/18,13.94
3/2/18,13.79
3/3/18,13.79
3/4/18,13.79
3/5/18,13.65
3/6/18,13.92
3/7/18,13.91
3/8/18,14.13
3/9/18,14.26
3/10/18,14.26
3/11/18,14.26
3/12/18,14.49
3/13/18,14.44
3/14/18,14.43
3/15/18,14.62
3/16/18,14.59
3/17/18,14.59
3/18/18,14.59
3/19/18,14.58
3/20/18,14.71
3/21/18,14.53
3/22/18,14.15
3/23/18,13.79
3/24/18,13.79
3/25/18,13.79
3/26/18,13.94
3/27/18,13.88
3/28/18,13.47
3/29/18,13.6
3/30/18,13.6
3/31/18,13.6
4/1/18,13.6
4/2/18,13.6
4/3/18,13.49
4/4/18,13.35
4/5/18,13.35
4/6/18,13.38
4/7/18,13.38
4/8/18,13.38
4/9/18,13.54
4/10/18,13.81
4/11/18,13.82
4/12/18,13.7
4/13/18,13.55
4/14/18,13.55
4/15/18,13.55
4/16/18,13.36
4/17/18,13.28
4/18/18,13.34
4/19/18,13.55
4/20/18,13.4
4/21/18,13.4
4/22/18,13.4
4/23/18,13.27
4/24/18,13.38
4/25/18,13.29
4/26/18,13.24
4/27/18,13.37
4/28/18,13.37
4/29/18,13.37
4/30/18,13.48
5/1/18,13.48
5/2/18,13.49
5/3/18,13.42
5/4/18,13.44
5/5/18,13.44
5/6/18,13.44
5/7/18,13.64
5/8/18,13.75
5/9/18,13.79
5/10/18,13.94
5/11/18,13.96
5/12/18,13.96
5/13/18,13.96
5/14/18,14.07
5/15/18,14.04
5/16/18,14.0
5/17/18,14.04
5/18/18,14.16
5/19/18,14.16
5/20/18,14.16
5/21/18,14.2
5/22/18,14.2
5/23/18,14.08
5/24/18,14.14
5/25/18,14.19
5/26/18,14.19
5/27/18,14.19
5/28/18,14.3
5/29/18,14.2
5/30/18,14.04
5/31/18,14.27
6/1/18,14.34
6/2/18,14.34
6/3/18,14.34
6/4/18,14.61
6/5/18,14.64
6/6/18,14.68
6/7/18,14.6
6/8/18,14.46
6/9/18,14.46
6/10/18,14.46
6/11/18,14.54
6/12/18,14.62
6/13/18,14.41
6/14/18,14.3
6/15/18,14.18
6/16/18,14.18
6/17/18,14.18
6/18/18,14.18
6/19/18,13.77
6/20/18,13.89
6/21/18,13.71
6/22/18,13.73
6/23/18,13.73
6/24/18,13.73
6/25/18,13.39
6/26/18,13.27
6/27/18,12.83
6/28/18,12.89
6/29/18,13.22
6/30/18,13.22
7/1/18,13.22
7/2/18,13.22
7/3/18,13.04
7/4/18,12.78
7/5/18,12.75
7/6/18,12.9
7/7/18,12.9
7/8/18,12.9
7/9/18,13.19
7/10/18,13.12
7/11/18,12.91
7/12/18,13.09
7/13/18,13.11
7/14/18,13.11
7/15/18,13.11
7/16/18,13.13
7/17/18,13.02
7/18/18,13.05
7/19/18,12.95
7/20/18,12.99
7/21/18,12.99
7/22/18,12.99
7/23/18,12.94
7/24/18,13.02
7/25/18,13.23
7/26/18,13.11
7/27/18,13.03
7/28/18,13.03
7/29/18,13.03
7/30/18,12.84
7/31/18,12.78
8/1/18,12.7
8/2/18,12.41
8/3/18,12.33
8/4/18,12.33
8/5/18,12.33
8/6/18,12.3
8/7/18,12.49
8/8/18,12.48
8/9/18,12.64
8/10/18,12.62
8/11/18,12.62
8/12/18,12.62
8/13/18,12.45
8/14/18,12.28
8/15/18,12.0
8/16/18,11.95
8/17/18,11.95
8/18/18,11.95
8/19/18,11.95
8/20/18,12.18
8/21/18,12.3
8/22/18,12.41
8/23/18,12.34
8/24/18,12.28
8/25/18,12.28
8/26/18,12.28
8/27/18,12.62
8/28/18,12.67
8/29/18,12.72
8/30/18,12.5
8/31/18,12.39
9/1/18,12.39
9/2/18,12.39
9/3/18,12.32
9/4/18,12.39
9/5/18,12.04
9/6/18,11.89
9/7/18,11.92
9/8/18,11.92
9/9/18,11.92
9/10/18,11.62
9/11/18,11.59
9/12/18,11.53
9/13/18,11.78
9/14/18,11.92
9/15/18,11.92
9/16/18,11.92
9/17/18,11.77
9/18/18,11.82
9/19/18,11.96
9/20/18,11.98
9/21/18,12.17
9/22/18,12.17
9/23/18,12.17
9/24/18,12.02
9/25/18,12.02
9/26/18,12.13
9/27/18,12.09
9/28/18,12.1
9/29/18,12.1
9/30/18,12.1
10/1/18,12.1
10/2/18,11.86
10/3/18,11.84
10/4/18,11.62
10/5/18,11.56
10/6/18,11.56
10/7/18,11.56
10/8/18,11.39
10/9/18,11.39
10/10/18,11.2
10/11/18,10.95
10/12/18,11.18
10/13/18,11.18
10/14/18,11.18
10/15/18,11.1
10/16/18,11.1
10/17/18,11.1
10/18/18,10.95
10/19/18,11.03
10/20/18,11.03
10/21/18,11.03
10/22/18,11.28
10/23/18,10.97
10/24/18,10.86
10/25/18,10.85
10/26/18,10.78
10/27/18,10.78
10/28/18,10.78
10/29/18,10.62
10/30/18,10.62
10/31/18,10.87
11/1/18,11.1
11/2/18,11.38
11/3/18,11.38
11/4/18,11.38
11/5/18,11.22
11/6/18,11.29
11/7/18,11.37
11/8/18,11.33
11/9/18,11.09
11/10/18,11.09
11/11/18,11.09
11/12/18,11.05
