Date,E Fund (HK) China Equity Div A HKD Inc
6/15/16,84.74
6/16/16,83.73
6/17/16,83.93
6/18/16,83.93
6/19/16,83.93
6/20/16,84.52
6/21/16,85.19
6/22/16,86.18
6/23/16,86.07
6/24/16,84.63
6/25/16,84.63
6/26/16,84.63
6/27/16,84.58
6/28/16,84.81
6/29/16,85.8
6/30/16,86.81
7/1/16,86.81
7/2/16,86.81
7/3/16,86.81
7/4/16,87.27
7/5/16,86.83
7/6/16,86.24
7/7/16,86.79
7/8/16,86.44
7/9/16,86.44
7/10/16,86.44
7/11/16,87.43
7/12/16,88.47
7/13/16,88.22
7/14/16,89.07
7/15/16,88.95
7/16/16,88.95
7/17/16,88.95
7/18/16,89.34
7/19/16,89.03
7/20/16,90.19
7/21/16,90.18
7/22/16,90.0
7/23/16,90.0
7/24/16,90.0
7/25/16,89.77
7/26/16,90.69
7/27/16,90.47
7/28/16,91.24
7/29/16,90.28
7/30/16,90.28
7/31/16,90.28
8/1/16,90.0
8/2/16,90.0
8/3/16,89.0
8/4/16,89.47
8/5/16,90.33
8/6/16,90.33
8/7/16,90.33
8/8/16,91.39
8/9/16,91.64
8/10/16,91.59
8/11/16,91.41
8/12/16,91.74
8/13/16,91.74
8/14/16,91.74
8/15/16,91.75
8/16/16,91.78
8/17/16,91.87
8/18/16,92.35
8/19/16,91.28
8/20/16,91.28
8/21/16,91.28
8/22/16,92.03
8/23/16,91.88
8/24/16,92.03
8/25/16,91.99
8/26/16,92.57
8/27/16,92.57
8/28/16,92.57
8/29/16,92.58
8/30/16,93.15
8/31/16,92.76
9/1/16,92.96
9/2/16,93.35
9/3/16,93.35
9/4/16,93.35
9/5/16,94.2
9/6/16,95.44
9/7/16,95.11
9/8/16,95.83
9/9/16,94.73
9/10/16,94.73
9/11/16,94.73
9/12/16,92.74
9/13/16,92.74
9/14/16,92.74
9/15/16,92.74
9/16/16,92.74
9/17/16,92.74
9/18/16,92.74
9/19/16,93.92
9/20/16,93.58
9/21/16,94.91
9/22/16,95.69
9/23/16,94.98
9/24/16,94.98
