Date,Harvest China Equity A HKD Acc
7/14/15,123.89
7/15/15,121.91
7/16/15,123.02
7/17/15,124.9
7/18/15,124.9
7/19/15,124.9
7/20/15,124.95
7/21/15,125.78
7/22/15,124.57
7/23/15,125.08
7/24/15,123.44
7/25/15,123.44
7/26/15,123.44
7/27/15,117.61
7/28/15,117.36
7/29/15,118.55
7/30/15,117.9
7/31/15,118.09
8/1/15,118.09
8/2/15,118.09
8/3/15,116.43
8/4/15,116.66
8/5/15,117.42
8/6/15,117.05
8/7/15,118.37
8/8/15,118.37
8/9/15,118.37
8/10/15,119.88
8/11/15,119.24
8/12/15,116.54
8/13/15,117.59
8/14/15,117.87
8/15/15,117.87
8/16/15,117.87
8/17/15,117.18
8/18/15,114.94
8/19/15,113.6
8/20/15,110.88
8/21/15,107.88
8/22/15,107.88
8/23/15,107.88
8/24/15,100.39
8/25/15,100.98
8/26/15,100.29
8/27/15,105.04
8/28/15,104.67
8/29/15,104.67
8/30/15,104.67
8/31/15,103.98
9/1/15,101.49
9/2/15,100.48
9/3/15,100.48
9/4/15,99.97
9/5/15,99.97
9/6/15,99.97
9/7/15,99.52
9/8/15,103.15
9/9/15,107.0
9/10/15,104.86
9/11/15,104.87
9/12/15,104.87
9/13/15,104.87
9/14/15,104.75
9/15/15,104.24
9/16/15,106.89
9/17/15,106.9
9/18/15,107.79
9/19/15,107.79
9/20/15,107.79
9/21/15,106.96
9/22/15,106.79
9/23/15,104.29
9/24/15,104.0
9/25/15,104.06
9/26/15,104.06
9/27/15,104.06
9/28/15,104.06
9/29/15,101.28
9/30/15,102.87
10/1/15,102.87
10/2/15,106.4
10/3/15,106.4
10/4/15,106.4
10/5/15,108.02
10/6/15,107.88
10/7/15,111.46
10/8/15,110.26
10/9/15,110.92
10/10/15,110.92
10/11/15,110.92
10/12/15,112.58
10/13/15,111.9
10/14/15,111.01
10/15/15,113.07
10/16/15,113.2
10/17/15,113.2
10/18/15,113.2
10/19/15,113.81
10/20/15,113.75
10/21/15,113.75
10/22/15,112.72
10/23/15,113.93
10/24/15,113.93
10/25/15,113.93
10/26/15,113.88
10/27/15,113.45
10/28/15,112.0
10/29/15,111.23
10/30/15,110.6
10/31/15,110.6
11/1/15,110.6
11/2/15,110.07
11/3/15,110.82
11/4/15,113.55
11/5/15,113.76
11/6/15,113.66
11/7/15,113.66
11/8/15,113.66
11/9/15,113.05
11/10/15,111.28
11/11/15,111.07
11/12/15,113.15
11/13/15,110.9
11/14/15,110.9
11/15/15,110.9
11/16/15,109.2
11/17/15,110.21
11/18/15,109.92
11/19/15,111.2
11/20/15,112.32
11/21/15,112.32
11/22/15,112.32
11/23/15,111.91
11/24/15,111.29
11/25/15,110.62
11/26/15,110.21
11/27/15,108.1
11/28/15,108.1
11/29/15,108.1
11/30/15,107.89
12/1/15,109.57
12/2/15,110.44
12/3/15,110.23
12/4/15,108.62
12/5/15,108.62
12/6/15,108.62
12/7/15,108.21
12/8/15,106.03
12/9/15,104.63
12/10/15,103.91
12/11/15,102.56
12/12/15,102.56
12/13/15,102.56
12/14/15,102.04
12/15/15,102.36
12/16/15,104.04
12/17/15,105.06
12/18/15,104.63
