Date,Franklin Biotechnology Discv A(acc)HKD
10/26/15,20.04
10/27/15,20.51
10/28/15,20.93
10/29/15,20.72
10/30/15,20.57
10/31/15,20.57
11/1/15,20.57
11/2/15,21.4
11/3/15,21.55
11/4/15,21.52
11/5/15,21.11
11/6/15,20.92
11/7/15,20.92
11/8/15,20.92
11/9/15,21.06
11/10/15,21.14
11/11/15,20.8
11/12/15,20.32
11/13/15,20.42
11/14/15,20.42
11/15/15,20.42
11/16/15,20.49
11/17/15,20.7
11/18/15,21.31
11/19/15,20.89
11/20/15,20.88
11/21/15,20.88
11/22/15,20.88
11/23/15,21.21
11/24/15,21.26
11/25/15,21.59
11/26/15,21.59
11/27/15,21.72
11/28/15,21.72
11/29/15,21.72
11/30/15,21.42
12/1/15,21.46
12/2/15,21.28
12/3/15,20.47
12/4/15,20.97
12/5/15,20.97
12/6/15,20.97
12/7/15,20.36
12/8/15,20.78
12/9/15,20.4
12/10/15,20.67
12/11/15,20.05
12/12/15,20.05
12/13/15,20.05
12/14/15,20.04
12/15/15,20.53
12/16/15,21.21
12/17/15,20.94
12/18/15,20.81
12/19/15,20.81
12/20/15,20.81
12/21/15,20.99
12/22/15,21.0
12/23/15,21.35
12/24/15,21.43
12/25/15,21.43
12/26/15,21.43
12/27/15,21.43
12/28/15,21.25
12/29/15,21.59
12/30/15,21.43
12/31/15,21.29
1/1/16,21.29
1/2/16,21.29
1/3/16,21.29
1/4/16,20.59
1/5/16,20.63
1/6/16,20.11
1/7/16,19.21
1/8/16,18.87
1/9/16,18.87
1/10/16,18.87
1/11/16,18.09
1/12/16,18.36
1/13/16,17.31
1/14/16,18.01
1/15/16,17.63
1/16/16,17.63
1/17/16,17.63
1/18/16,17.65
1/19/16,17.2
1/20/16,17.75
1/21/16,17.51
1/22/16,18.01
1/23/16,18.01
1/24/16,18.01
1/25/16,17.68
1/26/16,17.57
1/27/16,16.99
1/28/16,16.35
1/29/16,16.51
1/30/16,16.51
1/31/16,16.51
2/1/16,16.59
2/2/16,16.04
2/3/16,16.2
