Date,AB SICAV I Low Volatility Eq A HKD Acc
6/13/15,163.36
6/14/15,163.36
6/15/15,162.19
6/16/15,163.25
6/17/15,163.57
6/18/15,164.73
6/19/15,164.25
6/20/15,164.25
6/21/15,164.25
6/22/15,165.87
6/23/15,165.87
6/24/15,164.88
6/25/15,164.72
6/26/15,164.65
6/27/15,164.65
6/28/15,164.65
6/29/15,161.17
6/30/15,161.07
7/1/15,162.57
7/2/15,162.39
7/3/15,162.39
7/4/15,162.39
7/5/15,162.39
7/6/15,161.56
7/7/15,162.38
7/8/15,160.62
7/9/15,161.31
7/10/15,164.11
7/11/15,164.11
7/12/15,164.11
7/13/15,165.34
7/14/15,166.19
7/15/15,166.34
7/16/15,167.43
7/17/15,167.09
7/18/15,167.09
7/19/15,167.09
7/20/15,167.41
7/21/15,167.11
7/22/15,166.16
7/23/15,165.88
7/24/15,164.8
7/25/15,164.8
7/26/15,164.8
7/27/15,163.54
7/28/15,165.25
7/29/15,167.12
7/30/15,167.09
7/31/15,167.53
8/1/15,167.53
8/2/15,167.53
8/3/15,167.62
8/4/15,167.78
8/5/15,168.6
8/6/15,167.34
8/7/15,166.27
8/8/15,166.27
8/9/15,166.27
8/10/15,167.92
8/11/15,166.64
8/12/15,166.38
8/13/15,166.18
8/14/15,166.75
8/15/15,166.75
8/16/15,166.75
8/17/15,167.19
8/18/15,167.11
8/19/15,166.0
8/20/15,163.19
8/21/15,158.69
8/22/15,158.69
8/23/15,158.69
8/24/15,153.24
8/25/15,153.0
8/26/15,156.77
8/27/15,158.96
8/28/15,158.8
8/29/15,158.8
8/30/15,158.8
8/31/15,157.56
9/1/15,153.91
9/2/15,155.77
9/3/15,156.24
9/4/15,154.15
9/5/15,154.15
9/6/15,154.15
9/7/15,154.15
9/8/15,157.49
9/9/15,156.26
9/10/15,156.87
9/11/15,157.4
9/12/15,157.4
9/13/15,157.4
9/14/15,156.7
9/15/15,157.94
9/16/15,159.73
9/17/15,159.57
9/18/15,157.4
9/19/15,157.4
9/20/15,157.4
9/21/15,158.18
9/22/15,155.93
9/23/15,156.01
9/24/15,155.56
9/25/15,156.41
9/26/15,156.41
9/27/15,156.41
9/28/15,154.3
9/29/15,153.69
9/30/15,156.09
10/1/15,156.24
10/2/15,157.87
10/3/15,157.87
10/4/15,157.87
10/5/15,160.04
10/6/15,159.73
10/7/15,160.35
10/8/15,161.2
10/9/15,161.12
10/10/15,161.12
10/11/15,161.12
10/12/15,161.59
10/13/15,160.66
10/14/15,160.35
10/15/15,162.29
10/16/15,163.06
10/17/15,163.06
10/18/15,163.06
10/19/15,163.29
10/20/15,163.14
10/21/15,162.77
10/22/15,164.46
10/23/15,165.31
10/24/15,165.31
10/25/15,165.31
10/26/15,165.31
10/27/15,164.69
10/28/15,166.32
10/29/15,166.24
10/30/15,165.63
10/31/15,165.63
11/1/15,165.63
11/2/15,166.7
11/3/15,166.42
11/4/15,165.79
11/5/15,165.78
11/6/15,165.01
11/7/15,165.01
11/8/15,165.01
11/9/15,163.73
11/10/15,163.96
11/11/15,164.0
11/12/15,162.75
11/13/15,160.84
11/14/15,160.84
11/15/15,160.84
11/16/15,162.91
11/17/15,163.31
11/18/15,164.92
11/19/15,165.55
11/20/15,166.09
11/21/15,166.09
11/22/15,166.09
11/23/15,165.62
11/24/15,165.31
11/25/15,165.63
11/26/15,165.63
11/27/15,166.03
11/28/15,166.03
11/29/15,166.03
11/30/15,165.41
12/1/15,167.12
12/2/15,166.09
12/3/15,165.08
12/4/15,167.09
12/5/15,167.09
12/6/15,167.09
12/7/15,166.17
12/8/15,165.93
12/9/15,164.76
12/10/15,165.08
12/11/15,162.83
12/12/15,162.83
12/13/15,162.83
12/14/15,163.22
12/15/15,164.69
12/16/15,166.0
12/17/15,164.81
12/18/15,162.57
12/19/15,162.57
12/20/15,162.57
12/21/15,163.33
12/22/15,164.56
12/23/15,165.86
12/24/15,165.64
12/25/15,165.64
12/26/15,165.64
12/27/15,165.64
12/28/15,165.54
12/29/15,167.32
12/30/15,166.5
12/31/15,165.08
1/1/16,165.08
1/2/16,165.08
1/3/16,165.08
1/4/16,162.92
1/5/16,163.16
1/6/16,162.1
1/7/16,159.78
1/8/16,158.16
1/9/16,158.16
1/10/16,158.16
1/11/16,158.04
1/12/16,159.59
1/13/16,157.02
1/14/16,158.93
1/15/16,155.96
1/16/16,155.96
1/17/16,155.96
1/18/16,155.96
1/19/16,157.32
1/20/16,155.06
1/21/16,154.66
1/22/16,157.85
1/23/16,157.85
1/24/16,157.85
1/25/16,156.68
1/26/16,158.53
1/27/16,157.58
1/28/16,158.22
1/29/16,161.44
1/30/16,161.44
1/31/16,161.44
2/1/16,161.12
2/2/16,159.43
2/3/16,160.05
2/4/16,158.76
2/5/16,156.02
2/6/16,156.02
2/7/16,156.02
2/8/16,153.48
2/9/16,153.13
2/10/16,153.2
2/11/16,151.93
2/12/16,154.5
2/13/16,154.5
2/14/16,154.5
2/15/16,154.5
2/16/16,157.09
2/17/16,159.24
2/18/16,158.73
2/19/16,158.42
2/20/16,158.42
2/21/16,158.42
2/22/16,160.26
2/23/16,158.47
2/24/16,159.05
2/25/16,161.04
2/26/16,160.64
2/27/16,160.64
2/28/16,160.64
2/29/16,159.36
3/1/16,162.68
3/2/16,162.2
3/3/16,162.28
3/4/16,162.56
3/5/16,162.56
3/6/16,162.56
3/7/16,161.8
3/8/16,161.26
3/9/16,162.24
3/10/16,162.0
3/11/16,164.64
3/12/16,164.64
3/13/16,164.64
3/14/16,164.51
3/15/16,164.23
3/16/16,165.51
3/17/16,166.54
3/18/16,166.21
3/19/16,166.21
3/20/16,166.21
3/21/16,166.08
3/22/16,166.3
3/23/16,166.11
3/24/16,165.65
3/25/16,165.65
3/26/16,165.65
3/27/16,165.65
3/28/16,165.65
3/29/16,167.89
3/30/16,168.65
3/31/16,167.87
4/1/16,167.72
4/2/16,167.72
4/3/16,167.72
4/4/16,167.86
4/5/16,166.32
4/6/16,168.02
4/7/16,166.49
4/8/16,167.37
4/9/16,167.37
4/10/16,167.37
4/11/16,166.59
4/12/16,167.99
4/13/16,169.01
4/14/16,168.94
4/15/16,169.07
4/16/16,169.07
4/17/16,169.07
4/18/16,170.16
4/19/16,171.54
4/20/16,171.09
4/21/16,169.59
4/22/16,168.94
4/23/16,168.94
4/24/16,168.94
4/25/16,169.34
4/26/16,169.38
4/27/16,169.17
4/28/16,168.28
4/29/16,167.1
4/30/16,167.1
5/1/16,167.1
5/2/16,168.72
5/3/16,167.77
5/4/16,167.44
5/5/16,167.44
5/6/16,167.26
5/7/16,167.26
5/8/16,167.26
5/9/16,168.02
5/10/16,169.22
5/11/16,168.03
5/12/16,168.16
5/13/16,167.01
5/14/16,167.01
5/15/16,167.01
5/16/16,167.01
5/17/16,166.68
5/18/16,166.73
5/19/16,165.69
5/20/16,166.72
5/21/16,166.72
5/22/16,166.72
5/23/16,166.47
5/24/16,168.04
5/25/16,168.76
5/26/16,169.4
5/27/16,169.87
5/28/16,169.87
5/29/16,169.87
5/30/16,169.87
5/31/16,169.74
6/1/16,170.11
6/2/16,170.04
6/3/16,170.52
6/4/16,170.52
6/5/16,170.52
6/6/16,171.2
6/7/16,171.56
6/8/16,172.23
6/9/16,170.75
6/10/16,168.53
6/11/16,168.53
6/12/16,168.53
6/13/16,166.68
6/14/16,165.47
6/15/16,165.53
6/16/16,166.2
6/17/16,166.17
6/18/16,166.17
6/19/16,166.17
6/20/16,168.03
6/21/16,168.63
6/22/16,168.91
6/23/16,168.91
6/24/16,164.16
6/25/16,164.16
6/26/16,164.16
6/27/16,162.61
6/28/16,165.9
6/29/16,168.0
6/30/16,170.26
7/1/16,170.28
7/2/16,170.28
7/3/16,170.28
7/4/16,170.28
7/5/16,169.23
7/6/16,169.77
7/7/16,169.22
7/8/16,171.01
7/9/16,171.01
7/10/16,171.01
7/11/16,171.84
7/12/16,172.62
7/13/16,173.21
7/14/16,173.69
7/15/16,173.17
7/16/16,173.17
7/17/16,173.17
7/18/16,173.55
7/19/16,173.28
7/20/16,174.58
7/21/16,173.98
7/22/16,174.49
7/23/16,174.49
7/24/16,174.49
7/25/16,174.69
7/26/16,174.16
7/27/16,174.15
7/28/16,174.52
7/29/16,175.11
7/30/16,175.11
7/31/16,175.11
8/1/16,174.55
8/2/16,173.68
8/3/16,172.8
8/4/16,173.21
8/5/16,174.11
8/6/16,174.11
8/7/16,174.11
8/8/16,173.53
8/9/16,173.91
8/10/16,174.6
8/11/16,175.23
8/12/16,175.15
8/13/16,175.15
8/14/16,175.15
8/15/16,175.15
8/16/16,174.32
8/17/16,174.87
8/18/16,175.47
8/19/16,174.39
8/20/16,174.39
8/21/16,174.39
8/22/16,174.77
8/23/16,175.15
8/24/16,174.62
8/25/16,173.8
8/26/16,172.99
8/27/16,172.99
8/28/16,172.99
8/29/16,173.36
8/30/16,172.92
8/31/16,172.5
9/1/16,172.67
9/2/16,174.25
9/3/16,174.25
9/4/16,174.25
9/5/16,174.25
9/6/16,174.97
9/7/16,175.13
9/8/16,174.46
9/9/16,171.04
9/10/16,171.04
9/11/16,171.04
9/12/16,172.67
9/13/16,170.3
9/14/16,169.97
9/15/16,171.7
9/16/16,170.53
9/17/16,170.53
9/18/16,170.53
9/19/16,170.99
9/20/16,171.37
9/21/16,173.16
9/22/16,174.36
9/23/16,173.04
9/24/16,173.04
9/25/16,173.04
9/26/16,172.18
9/27/16,172.55
9/28/16,173.61
9/29/16,171.56
9/30/16,172.43
10/1/16,172.43
10/2/16,172.43
10/3/16,172.16
10/4/16,171.49
10/5/16,171.65
10/6/16,171.66
10/7/16,170.68
10/8/16,170.68
10/9/16,170.68
10/10/16,171.14
10/11/16,168.96
10/12/16,169.28
10/13/16,169.44
10/14/16,169.45
10/15/16,169.45
10/16/16,169.45
10/17/16,168.83
10/18/16,169.62
10/19/16,170.04
10/20/16,169.3
10/21/16,169.12
10/22/16,169.12
10/23/16,169.12
10/24/16,169.58
10/25/16,168.49
10/26/16,167.94
10/27/16,167.29
10/28/16,167.21
10/29/16,167.21
10/30/16,167.21
10/31/16,167.42
11/1/16,167.42
11/2/16,166.34
11/3/16,165.64
11/4/16,164.9
11/5/16,164.9
11/6/16,164.9
11/7/16,167.28
11/8/16,167.67
11/9/16,169.01
11/10/16,168.25
11/11/16,167.8
11/12/16,167.8
11/13/16,167.8
11/14/16,167.64
11/15/16,168.63
11/16/16,168.56
11/17/16,169.49
11/18/16,168.86
11/19/16,168.86
11/20/16,168.86
11/21/16,169.76
11/22/16,170.76
11/23/16,170.64
11/24/16,170.64
11/25/16,171.55
11/26/16,171.55
11/27/16,171.55
11/28/16,170.49
11/29/16,171.12
11/30/16,170.11
12/1/16,168.92
12/2/16,169.14
12/3/16,169.14
12/4/16,169.14
12/5/16,169.9
12/6/16,169.77
12/7/16,171.63
12/8/16,171.79
12/9/16,172.64
12/10/16,172.64
12/11/16,172.64
12/12/16,172.06
12/13/16,173.1
12/14/16,171.64
12/15/16,171.66
12/16/16,171.92
12/17/16,171.92
12/18/16,171.92
12/19/16,171.63
12/20/16,172.23
12/21/16,171.91
12/22/16,171.53
12/23/16,171.77
12/24/16,171.77
12/25/16,171.77
12/26/16,171.77
12/27/16,172.08
12/28/16,170.92
12/29/16,171.15
12/30/16,170.65
12/31/16,170.65
1/1/17,170.65
1/2/17,170.65
1/3/17,171.79
1/4/17,172.93
1/5/17,173.53
1/6/17,173.26
1/7/17,173.26
1/8/17,173.26
1/9/17,172.88
1/10/17,172.99
1/11/17,174.0
1/12/17,174.16
1/13/17,174.49
1/14/17,174.49
1/15/17,174.49
1/16/17,174.49
1/17/17,174.35
1/18/17,174.18
1/19/17,173.59
1/20/17,174.47
1/21/17,174.47
1/22/17,174.47
1/23/17,174.2
1/24/17,175.08
1/25/17,176.24
1/26/17,175.8
1/27/17,175.83
1/28/17,175.83
1/29/17,175.83
1/30/17,175.08
1/31/17,175.35
2/1/17,175.58
2/2/17,175.9
2/3/17,177.18
2/4/17,177.18
2/5/17,177.18
2/6/17,176.49
2/7/17,176.44
2/8/17,176.92
2/9/17,177.28
2/10/17,177.89
2/11/17,177.89
2/12/17,177.89
2/13/17,178.38
2/14/17,178.39
2/15/17,179.3
2/16/17,179.71
2/17/17,179.45
2/18/17,179.45
2/19/17,179.45
2/20/17,179.45
2/21/17,179.44
2/22/17,179.35
2/23/17,180.11
2/24/17,179.98
2/25/17,179.98
2/26/17,179.98
2/27/17,179.91
2/28/17,179.16
3/1/17,180.4
3/2/17,179.77
3/3/17,179.79
3/4/17,179.79
3/5/17,179.79
3/6/17,179.27
3/7/17,178.74
3/8/17,178.77
3/9/17,178.81
3/10/17,179.44
3/11/17,179.44
3/12/17,179.44
3/13/17,179.68
3/14/17,179.26
3/15/17,180.72
3/16/17,181.29
3/17/17,181.09
3/18/17,181.09
3/19/17,181.09
3/20/17,180.71
3/21/17,179.78
3/22/17,179.69
3/23/17,179.5
3/24/17,179.72
3/25/17,179.72
3/26/17,179.72
3/27/17,179.58
3/28/17,180.61
3/29/17,180.77
3/30/17,180.89
3/31/17,180.69
4/1/17,180.69
4/2/17,180.69
4/3/17,180.22
4/4/17,180.12
4/5/17,179.46
4/6/17,179.88
4/7/17,179.37
4/8/17,179.37
4/9/17,179.37
4/10/17,179.42
4/11/17,179.88
4/12/17,180.14
4/13/17,178.89
4/14/17,178.89
4/15/17,178.89
4/16/17,178.89
4/17/17,178.89
4/18/17,179.99
4/19/17,179.33
4/20/17,180.37
4/21/17,180.09
4/22/17,180.09
4/23/17,180.09
4/24/17,182.68
4/25/17,183.67
4/26/17,183.7
4/27/17,183.65
4/28/17,183.25
4/29/17,183.25
4/30/17,183.25
5/1/17,183.25
5/2/17,184.17
5/3/17,183.8
5/4/17,185.0
5/5/17,186.03
5/6/17,186.03
5/7/17,186.03
5/8/17,185.67
5/9/17,185.1
5/10/17,185.47
5/11/17,185.37
5/12/17,185.34
5/13/17,185.34
5/14/17,185.34
5/15/17,185.77
5/16/17,186.62
5/17/17,183.95
5/18/17,184.34
5/19/17,185.85
5/20/17,185.85
5/21/17,185.85
5/22/17,186.76
5/23/17,186.91
5/24/17,187.07
5/25/17,187.07
5/26/17,188.27
5/27/17,188.27
5/28/17,188.27
5/29/17,188.27
5/30/17,188.35
5/31/17,188.95
6/1/17,190.51
6/2/17,191.01
6/3/17,191.01
6/4/17,191.01
6/5/17,191.01
6/6/17,190.17
6/7/17,190.26
6/8/17,189.71
6/9/17,189.31
6/10/17,189.31
6/11/17,189.31
6/12/17,188.76
6/13/17,189.72
6/14/17,189.97
6/15/17,189.27
6/16/17,189.47
6/17/17,189.47
6/18/17,189.47
6/19/17,190.8
6/20/17,189.48
6/21/17,189.64
6/22/17,189.67
6/23/17,189.67
6/24/17,189.67
6/25/17,189.67
6/26/17,189.83
6/27/17,189.17
6/28/17,190.55
6/29/17,188.75
6/30/17,189.04
7/1/17,189.04
7/2/17,189.04
7/3/17,188.58
7/4/17,188.58
7/5/17,188.88
7/6/17,187.47
7/7/17,188.28
7/8/17,188.28
7/9/17,188.28
7/10/17,188.36
7/11/17,188.44
7/12/17,189.29
7/13/17,189.81
7/14/17,190.69
7/15/17,190.69
7/16/17,190.69
7/17/17,190.69
7/18/17,191.08
7/19/17,192.17
7/20/17,192.08
7/21/17,191.64
7/22/17,191.64
7/23/17,191.64
7/24/17,191.36
7/25/17,191.32
7/26/17,191.86
7/27/17,191.41
7/28/17,191.01
7/29/17,191.01
7/30/17,191.01
7/31/17,191.05
8/1/17,191.91
8/2/17,192.21
8/3/17,192.46
8/4/17,192.9
8/5/17,192.9
8/6/17,192.9
8/7/17,192.84
8/8/17,192.47
8/9/17,192.33
8/10/17,190.52
8/11/17,190.64
8/12/17,190.64
8/13/17,190.64
8/14/17,191.86
8/15/17,191.86
8/16/17,192.8
8/17/17,190.92
8/18/17,190.52
8/19/17,190.52
8/20/17,190.52
8/21/17,191.01
8/22/17,192.37
8/23/17,191.46
8/24/17,191.03
8/25/17,191.65
8/26/17,191.65
8/27/17,191.65
8/28/17,192.0
8/29/17,191.48
8/30/17,191.94
8/31/17,193.85
9/1/17,194.27
9/2/17,194.27
9/3/17,194.27
9/4/17,194.27
9/5/17,193.06
9/6/17,193.21
9/7/17,193.73
9/8/17,193.68
9/9/17,193.68
9/10/17,193.68
9/11/17,194.66
9/12/17,194.85
9/13/17,194.21
9/14/17,194.01
9/15/17,193.93
9/16/17,193.93
9/17/17,193.93
9/18/17,194.09
9/19/17,193.72
9/20/17,193.17
9/21/17,192.78
9/22/17,193.54
9/23/17,193.54
9/24/17,193.54
9/25/17,193.33
9/26/17,193.14
9/27/17,193.39
9/28/17,193.84
9/29/17,194.74
9/30/17,194.74
10/1/17,194.74
10/2/17,195.14
10/3/17,195.84
10/4/17,195.37
10/5/17,195.84
10/6/17,195.15
10/7/17,195.15
10/8/17,195.15
10/9/17,195.4
10/10/17,196.36
10/11/17,197.14
10/12/17,197.07
10/13/17,197.3
10/14/17,197.3
10/15/17,197.3
10/16/17,197.07
10/17/17,197.24
10/18/17,197.55
10/19/17,197.09
10/20/17,197.4
10/21/17,197.4
10/22/17,197.4
10/23/17,196.91
10/24/17,197.07
10/25/17,196.92
10/26/17,197.53
10/27/17,197.92
10/28/17,197.92
10/29/17,197.92
10/30/17,197.56
10/31/17,198.16
11/1/17,198.16
11/2/17,197.27
11/3/17,198.01
11/4/17,198.01
11/5/17,198.01
11/6/17,198.15
11/7/17,198.15
11/8/17,198.37
11/9/17,197.72
11/10/17,197.76
11/11/17,197.76
11/12/17,197.76
11/13/17,197.85
11/14/17,197.84
11/15/17,197.17
11/16/17,198.83
11/17/17,198.42
11/18/17,198.42
11/19/17,198.42
11/20/17,198.86
11/21/17,200.52
11/22/17,200.09
11/23/17,200.09
11/24/17,200.51
11/25/17,200.51
11/26/17,200.51
11/27/17,200.51
11/28/17,201.82
11/29/17,201.83
11/30/17,202.55
12/1/17,202.56
12/2/17,202.56
12/3/17,202.56
12/4/17,202.16
12/5/17,201.89
12/6/17,201.61
12/7/17,201.4
12/8/17,202.54
12/9/17,202.54
12/10/17,202.54
12/11/17,202.88
12/12/17,203.59
12/13/17,203.9
12/14/17,202.83
12/15/17,203.37
12/16/17,203.37
12/17/17,203.37
12/18/17,204.34
12/19/17,203.98
12/20/17,204.13
12/21/17,204.05
12/22/17,203.93
12/23/17,203.93
12/24/17,203.93
12/25/17,203.93
12/26/17,203.93
12/27/17,204.23
12/28/17,204.76
12/29/17,204.33
12/30/17,204.33
12/31/17,204.33
1/1/18,204.33
1/2/18,205.25
1/3/18,205.69
1/4/18,207.21
1/5/18,209.29
1/6/18,209.29
1/7/18,209.29
1/8/18,208.57
1/9/18,209.02
1/10/18,208.56
1/11/18,209.66
1/12/18,210.81
1/13/18,210.81
1/14/18,210.81
1/15/18,210.81
1/16/18,210.8
1/17/18,212.46
1/18/18,211.51
1/19/18,213.14
1/20/18,213.14
1/21/18,213.14
1/22/18,214.01
1/23/18,213.95
1/24/18,214.35
1/25/18,213.58
1/26/18,216.07
1/27/18,216.07
1/28/18,216.07
1/29/18,214.19
1/30/18,212.4
1/31/18,212.44
2/1/18,213.06
2/2/18,209.36
2/3/18,209.36
2/4/18,209.36
2/5/18,201.51
2/6/18,203.81
2/7/18,203.4
2/8/18,198.13
2/9/18,200.13
2/10/18,200.13
2/11/18,200.13
2/12/18,202.58
2/13/18,203.47
2/14/18,205.57
2/15/18,208.01
2/16/18,207.98
2/17/18,207.98
2/18/18,207.98
2/19/18,207.98
2/20/18,207.04
2/21/18,206.66
2/22/18,206.63
2/23/18,209.41
2/24/18,209.41
2/25/18,209.41
2/26/18,210.89
2/27/18,208.21
2/28/18,206.64
3/1/18,204.59
3/2/18,205.48
3/3/18,205.48
3/4/18,205.48
3/5/18,206.89
3/6/18,207.8
3/7/18,207.74
3/8/18,208.78
3/9/18,210.88
3/10/18,210.88
3/11/18,210.88
3/12/18,210.63
3/13/18,209.61
3/14/18,208.83
3/15/18,208.88
3/16/18,208.78
3/17/18,208.78
3/18/18,208.78
3/19/18,207.41
3/20/18,207.46
3/21/18,207.3
3/22/18,203.4
3/23/18,201.07
3/24/18,201.07
3/25/18,201.07
3/26/18,205.16
3/27/18,202.94
3/28/18,203.26
3/29/18,204.98
3/30/18,204.98
3/31/18,204.98
4/1/18,204.98
4/2/18,204.98
4/3/18,204.13
4/4/18,205.14
4/5/18,206.56
4/6/18,204.13
4/7/18,204.13
4/8/18,204.13
4/9/18,205.32
4/10/18,207.68
4/11/18,206.18
4/12/18,206.99
4/13/18,206.76
4/14/18,206.76
4/15/18,206.76
4/16/18,208.41
4/17/18,209.97
4/18/18,210.48
4/19/18,209.13
4/20/18,207.85
4/21/18,207.85
4/22/18,207.85
4/23/18,207.88
4/24/18,206.89
4/25/18,206.98
4/26/18,208.68
4/27/18,208.9
4/28/18,208.9
4/29/18,208.9
4/30/18,208.2
5/1/18,208.2
5/2/18,206.65
5/3/18,206.82
5/4/18,208.01
5/5/18,208.01
5/6/18,208.01
5/7/18,208.01
5/8/18,208.15
5/9/18,209.23
5/10/18,209.23
5/11/18,211.37
5/12/18,211.37
5/13/18,211.37
5/14/18,211.77
5/15/18,210.51
5/16/18,210.71
5/17/18,210.75
5/18/18,210.69
5/19/18,210.69
5/20/18,210.69
5/21/18,210.69
5/22/18,211.22
5/23/18,210.93
5/24/18,211.24
5/25/18,210.63
5/26/18,210.63
5/27/18,210.63
5/28/18,210.63
5/29/18,208.05
5/30/18,210.27
5/31/18,208.95
6/1/18,210.33
6/2/18,210.33
6/3/18,210.33
6/4/18,211.89
6/5/18,212.11
6/6/18,213.73
6/7/18,213.49
6/8/18,214.42
6/9/18,214.42
6/10/18,214.42
6/11/18,215.05
6/12/18,214.84
6/13/18,214.58
6/14/18,214.41
6/15/18,214.67
6/16/18,214.67
6/17/18,214.67
6/18/18,213.64
6/19/18,212.21
6/20/18,212.06
6/21/18,211.36
6/22/18,212.65
6/23/18,212.65
6/24/18,212.65
6/25/18,210.5
6/26/18,210.51
6/27/18,209.14
6/28/18,210.08
6/29/18,210.14
6/30/18,210.14
7/1/18,210.14
7/2/18,209.75
7/3/18,210.0
7/4/18,210.0
7/5/18,211.46
7/6/18,212.75
7/7/18,212.75
7/8/18,212.75
7/9/18,214.55
7/10/18,215.2
7/11/18,213.62
7/12/18,215.67
7/13/18,216.14
7/14/18,216.14
7/15/18,216.14
7/16/18,215.83
7/17/18,216.61
7/18/18,217.23
7/19/18,216.88
7/20/18,217.43
7/21/18,217.43
7/22/18,217.43
7/23/18,217.16
7/24/18,217.45
7/25/18,219.54
7/26/18,218.81
7/27/18,218.15
7/28/18,218.15
7/29/18,218.15
7/30/18,217.26
7/31/18,218.28
8/1/18,217.53
8/2/18,217.59
8/3/18,217.87
8/4/18,217.87
8/5/18,217.87
8/6/18,218.13
8/7/18,218.77
8/8/18,219.12
8/9/18,218.85
8/10/18,216.73
8/11/18,216.73
8/12/18,216.73
8/13/18,216.34
8/14/18,217.28
8/15/18,217.28
8/16/18,217.59
8/17/18,218.05
8/18/18,218.05
8/19/18,218.05
8/20/18,218.84
8/21/18,219.08
8/22/18,219.13
8/23/18,218.54
8/24/18,219.79
8/25/18,219.79
8/26/18,219.79
8/27/18,220.97
8/28/18,220.73
8/29/18,221.79
8/30/18,220.96
8/31/18,220.33
9/1/18,220.33
9/2/18,220.33
9/3/18,220.33
9/4/18,219.71
9/5/18,218.73
9/6/18,218.2
9/7/18,217.36
9/8/18,217.36
9/9/18,217.36
9/10/18,217.74
9/11/18,218.37
9/12/18,219.36
9/13/18,220.01
9/14/18,219.87
9/15/18,219.87
9/16/18,219.87
9/17/18,219.42
9/18/18,220.64
9/19/18,220.23
9/20/18,221.33
9/21/18,220.75
9/22/18,220.75
9/23/18,220.75
9/24/18,219.92
9/25/18,220.53
9/26/18,220.54
9/27/18,220.58
9/28/18,220.77
9/29/18,220.77
9/30/18,220.77
10/1/18,221.25
10/2/18,220.75
10/3/18,220.65
10/4/18,218.5
10/5/18,217.33
10/6/18,217.33
10/7/18,217.33
10/8/18,216.51
10/9/18,216.42
10/10/18,211.36
10/11/18,207.8
10/12/18,209.52
10/13/18,209.52
10/14/18,209.52
10/15/18,209.27
10/16/18,213.68
10/17/18,212.88
10/18/18,210.83
10/19/18,211.31
10/20/18,211.31
10/21/18,211.31
10/22/18,210.61
10/23/18,209.37
10/24/18,204.69
10/25/18,206.43
10/26/18,204.58
10/27/18,204.58
10/28/18,204.58
10/29/18,203.46
10/30/18,205.97
10/31/18,207.65
11/1/18,207.65
11/2/18,206.91
11/3/18,206.91
11/4/18,206.91
11/5/18,208.24
11/6/18,208.98
11/7/18,212.51
11/8/18,212.18
11/9/18,212.27
11/10/18,212.27
11/11/18,212.27
11/12/18,209.1
11/13/18,208.78
11/14/18,207.58
11/15/18,208.95
11/16/18,209.33
11/17/18,209.33
11/18/18,209.33
11/19/18,206.49
11/20/18,202.55
11/21/18,203.87
11/22/18,203.87
11/23/18,202.61
11/24/18,202.61
11/25/18,202.61
11/26/18,204.67
11/27/18,204.67
11/28/18,208.77
11/29/18,207.76
11/30/18,208.85
12/1/18,208.85
12/2/18,208.85
12/3/18,209.69
12/4/18,204.85
